 No. ,������,�����ѷ�,ȭ��,Ű,��ż����㸮�ѷ�,������,�Ӹ��ѷ�,�߱���,����,������,������,����������,����������,������,����ȭ,BMI����
 852 ,20130415,91.7 cm,85.1 cm,169.1 cm,74.0 cm (29.1 in),74.4 cm,57.8 cm,25.7 cm,8.4 cm,54.7 kg,90-168,95-L(82)-173,75-M(74.8)-168,58ȣ,260mm,19.2
 853 ,20130415,114.1 cm,87.7 cm,175.1 cm,103.3 cm (40.7 in),77.0 cm,61.1 cm,27.0 cm,10.1 cm,91.0 kg,115-173,115-M(82)-178,100-M(77)-173,61ȣ,270mm,29.7
 854 ,20130415,94.6 cm,86.6 cm,173.0 cm,77.5 cm (30.5 in),76.1 cm,55.7 cm,26.1 cm,9.6 cm,64.2 kg,95-173,95-L(82)-173,80-M(77)-173,56ȣ,265mm,21.4
 855 ,20130415,87.2 cm,86.4 cm,173.6 cm,75.0 cm (29.5 in),76.7 cm,58.1 cm,25.2 cm,9.3 cm,54.7 kg,90-173,90-M(82)-178,75-M(77)-173,58ȣ,255mm,17.9
 856 ,20130415,107.9 cm,87.2 cm,175.2 cm,99.9 cm (39.3 in),77.4 cm,56.0 cm,25.9 cm,10.7 cm,92.5 kg,110-173,105-L(84)-178,100-M(77)-173,56ȣ,260mm,30.1
 857 ,20130415,99.0 cm,83.2 cm,167.0 cm,67.4 cm (26.5 in),73.6 cm,58.0 cm,24.0 cm,9.6 cm,67.9 kg,100-168,100-L(80)-168,70-M(77)-173,58ȣ,240mm,24.4
 858 ,20130415,96.9 cm,88.2 cm,176.3 cm,82.5 cm (32.5 in),77.6 cm,58.3 cm,28.0 cm,10.4 cm,71.0 kg,95-178,95-L(84)-178,85-S(76.2)-178,58ȣ,280mm,22.9
 859 ,20130415,90.7 cm,90.4 cm,181.4 cm,87.4 cm (34.4 in),80.1 cm,59.3 cm,27.4 cm,9.6 cm,68.3 kg,90-178,90-M(85)-185,85-M(79.2)-178,59ȣ,275mm,20.8
 860 ,20130415,93.2 cm,87.4 cm,174.4 cm,77.0 cm (30.3 in),76.9 cm,55.3 cm,26.3 cm,8.7 cm,63.7 kg,95-173,95-L(84)-178,75-M(77)-173,55ȣ,265mm,20.9
 861 ,20130415,98.8 cm,88.7 cm,177.0 cm,84.1 cm (33.1 in),77.9 cm,55.6 cm,26.2 cm,10.0 cm,67.9 kg,100-178,100-L(84)-178,85-M(79.2)-178,56ȣ,265mm,21.7
 862 ,20130415,117.1 cm,87.1 cm,173.5 cm,110.5 cm (43.5 in),76.6 cm,59.4 cm,28.3 cm,10.1 cm,105.0 kg,115-173,115-M(82)-178,105-M(79.2)-178,59ȣ,285mm,34.8
 863 ,20130415,102.0 cm,84.5 cm,169.3 cm,87.2 cm (34.3 in),74.6 cm,56.1 cm,25.7 cm,9.6 cm,65.7 kg,100-168,100-L(82)-173,85-M(74.8)-168,56ȣ,260mm,22.9
 864 ,20130415,102.9 cm,88.7 cm,176.7 cm,89.7 cm (35.3 in),77.7 cm,57.7 cm,28.2 cm,9.9 cm,80.3 kg,105-178,105-L(84)-178,90-M(79.2)-178,58ȣ,285mm,25.7
 865 ,20130415,97.7 cm,87.5 cm,174.6 cm,82.4 cm (32.4 in),76.9 cm,57.0 cm,26.5 cm,8.8 cm,67.7 kg,100-173,100-L(84)-178,80-M(77)-173,57ȣ,265mm,22.2
 866 ,20130415,108.1 cm,83.8 cm,168.1 cm,94.4 cm (37.2 in),73.9 cm,59.1 cm,25.7 cm,10.1 cm,76.0 kg,110-168,110-M(78)-168,95-S(71.8)-168,59ȣ,260mm,26.9
 867 ,20130415,89.2 cm,86.3 cm,173.3 cm,84.3 cm (33.2 in),76.5 cm,56.2 cm,25.4 cm,9.2 cm,61.6 kg,90-173,90-M(80)-173,85-M(77)-173,56ȣ,255mm,20.5
 868 ,20130415,89.6 cm,82.5 cm,164.7 cm,80.1 cm (31.5 in),72.5 cm,55.2 cm,25.8 cm,9.3 cm,52.2 kg,90-168,90-M(78)-168,80-S(71.8)-168,55ȣ,260mm,19.3
 869 ,20130415,95.7 cm,85.4 cm,171.3 cm,86.1 cm (33.9 in),75.3 cm,56.1 cm,25.6 cm,9.4 cm,61.2 kg,95-173,95-L(82)-173,85-M(77)-173,56ȣ,260mm,20.9
 870 ,20130415,91.3 cm,83.7 cm,166.6 cm,83.3 cm (32.8 in),73.5 cm,56.5 cm,25.0 cm,8.3 cm,53.0 kg,90-168,95-L(80)-168,85-M(74.8)-168,56ȣ,250mm,19.1
 871 ,20130415,90.9 cm,85.9 cm,171.8 cm,75.5 cm (29.7 in),75.6 cm,54.6 cm,25.8 cm,8.8 cm,58.9 kg,90-173,95-L(82)-173,75-M(77)-173,55ȣ,260mm,20.0
 872 ,20130415,86.2 cm,84.9 cm,169.5 cm,73.6 cm (29.0 in),74.7 cm,56.2 cm,26.4 cm,8.8 cm,53.4 kg,90-168,90-M(80)-173,75-M(74.8)-168,56ȣ,265mm,18.6
 873 ,20130415,108.3 cm,85.9 cm,171.1 cm,100.4 cm (39.5 in),75.5 cm,58.1 cm,26.7 cm,9.0 cm,86.4 kg,110-173,105-L(82)-173,100-M(77)-173,58ȣ,270mm,29.5
 874 ,20130415,106.5 cm,87.3 cm,175.3 cm,87.5 cm (34.5 in),77.4 cm,57.0 cm,27.1 cm,9.2 cm,79.0 kg,105-173,105-L(84)-178,90-M(77)-173,57ȣ,275mm,25.6
 875 ,20130415,101.1 cm,87.6 cm,175.1 cm,85.1 cm (33.5 in),77.2 cm,58.5 cm,27.5 cm,9.7 cm,73.4 kg,100-173,100-L(84)-178,85-M(77)-173,59ȣ,275mm,23.9
 876 ,20130415,103.6 cm,90.2 cm,181.0 cm,94.3 cm (37.1 in),79.6 cm,57.0 cm,26.4 cm,9.6 cm,89.1 kg,105-178,100-L(87)-185,95-M(79.2)-178,57ȣ,265mm,27.2
 877 ,20130415,91.4 cm,86.0 cm,172.4 cm,72.1 cm (28.4 in),76.1 cm,57.5 cm,26.0 cm,8.9 cm,54.1 kg,90-173,95-L(82)-173,70-M(77)-173,57ȣ,260mm,18.2
 878 ,20130415,94.4 cm,88.5 cm,177.7 cm,86.7 cm (34.2 in),78.2 cm,56.7 cm,25.5 cm,8.1 cm,60.0 kg,95-178,95-L(84)-178,85-M(79.2)-178,57ȣ,255mm,18.6
 879 ,20130415,95.8 cm,88.4 cm,175.9 cm,81.4 cm (32.1 in),77.6 cm,58.7 cm,29.0 cm,8.9 cm,69.8 kg,95-178,95-L(84)-178,80-S(76.2)-178,59ȣ,290mm,22.6
 880 ,20130415,98.8 cm,85.9 cm,171.7 cm,77.9 cm (30.7 in),75.8 cm,56.5 cm,26.2 cm,9.3 cm,63.9 kg,100-173,100-L(82)-173,80-M(77)-173,57ȣ,265mm,21.7
 881 ,20130415,96.9 cm,90.2 cm,180.5 cm,79.2 cm (31.2 in),79.4 cm,57.6 cm,27.6 cm,9.4 cm,66.8 kg,95-178,100-L(87)-185,80-M(79.2)-178,58ȣ,280mm,20.5
 882 ,20130415,85.6 cm,84.1 cm,168.8 cm,76.2 cm (30.0 in),74.1 cm,56.4 cm,26.5 cm,9.7 cm,51.9 kg,90-168,90-M(80)-173,75-M(74.8)-168,56ȣ,265mm,17.4
 883 ,20130415,90.8 cm,92.3 cm,183.8 cm,76.5 cm (30.1 in),81.1 cm,54.9 cm,26.5 cm,8.9 cm,59.1 kg,95-185,90-M(85)-185,75-M(82.3)-185,55ȣ,265mm,17.5
 884 ,20130415,90.5 cm,85.1 cm,170.8 cm,72.5 cm (28.5 in),75.2 cm,54.6 cm,25.2 cm,10.0 cm,58.8 kg,90-173,90-M(80)-173,75-M(74.8)-168,55ȣ,255mm,20.2
 885 ,20130415,116.1 cm,87.6 cm,175.8 cm,101.4 cm (39.9 in),77.2 cm,58.2 cm,27.8 cm,9.9 cm,93.6 kg,115-178,115-M(82)-178,100-M(77)-173,58ȣ,280mm,30.3
 886 ,20130415,99.5 cm,91.5 cm,182.2 cm,94.8 cm (37.3 in),80.4 cm,59.6 cm,29.0 cm,10.1 cm,68.2 kg,100-185,100-L(87)-185,95-M(82.3)-185,60ȣ,290mm,20.6
 887 ,20130415,97.0 cm,85.2 cm,171.0 cm,78.6 cm (31.0 in),75.4 cm,55.7 cm,24.9 cm,8.4 cm,60.1 kg,95-173,95-L(82)-173,80-S(74)-173,56ȣ,250mm,20.5
 888 ,20130415,95.7 cm,89.2 cm,178.0 cm,82.3 cm (32.4 in),78.4 cm,56.2 cm,27.3 cm,9.6 cm,72.8 kg,95-178,95-L(84)-178,80-M(79.2)-178,56ȣ,275mm,23.1
 889 ,20130415,89.6 cm,83.9 cm,168.5 cm,78.6 cm (31.0 in),74.1 cm,55.6 cm,26.6 cm,9.6 cm,51.4 kg,90-168,90-M(78)-168,80-M(74.8)-168,56ȣ,270mm,18.1
 890 ,20130415,96.2 cm,84.0 cm,167.7 cm,87.4 cm (34.4 in),74.1 cm,59.1 cm,25.3 cm,9.4 cm,67.0 kg,95-168,95-L(80)-168,85-M(74.8)-168,59ȣ,255mm,23.8
 891 ,20130415,92.8 cm,88.9 cm,177.2 cm,86.1 cm (33.9 in),78.1 cm,55.0 cm,27.7 cm,9.9 cm,66.6 kg,95-178,95-L(84)-178,85-M(79.2)-178,55ȣ,280mm,21.2
 892 ,20130415,109.4 cm,86.6 cm,172.7 cm,102.6 cm (40.4 in),76.0 cm,55.9 cm,26.8 cm,9.2 cm,84.3 kg,110-173,105-L(82)-173,100-M(77)-173,56ȣ,270mm,28.3
 893 ,20130415,96.1 cm,92.4 cm,184.2 cm,81.6 cm (32.1 in),81.1 cm,58.0 cm,26.8 cm,10.5 cm,69.0 kg,95-185,100-L(87)-185,80-M(82.3)-185,58ȣ,270mm,20.3
 894 ,20130415,93.9 cm,83.1 cm,167.0 cm,77.1 cm (30.4 in),73.5 cm,56.5 cm,27.3 cm,9.4 cm,58.8 kg,95-168,95-L(80)-168,75-M(74.8)-168,57ȣ,275mm,21.1
 895 ,20130415,95.9 cm,85.3 cm,171.3 cm,81.8 cm (32.2 in),75.3 cm,56.9 cm,26.3 cm,9.8 cm,60.0 kg,95-173,95-L(82)-173,80-S(74)-173,57ȣ,265mm,20.4
 896 ,20130415,88.9 cm,84.0 cm,167.1 cm,74.9 cm (29.5 in),73.6 cm,56.5 cm,22.9 cm,9.2 cm,52.1 kg,90-168,90-M(78)-168,75-M(74.8)-168,56ȣ,230mm,18.6
 897 ,20130415,98.0 cm,84.3 cm,169.3 cm,83.6 cm (32.9 in),74.8 cm,58.3 cm,24.7 cm,9.2 cm,66.5 kg,100-168,100-L(82)-173,85-M(74.8)-168,58ȣ,250mm,23.2
 898 ,20130415,100.9 cm,86.5 cm,173.7 cm,84.8 cm (33.4 in),76.5 cm,55.0 cm,26.7 cm,9.3 cm,73.2 kg,100-173,100-L(82)-173,85-M(77)-173,55ȣ,270mm,24.3
 899 ,20130415,95.7 cm,91.2 cm,181.8 cm,79.8 cm (31.4 in),80.3 cm,57.4 cm,27.7 cm,9.5 cm,63.8 kg,95-185,100-L(87)-185,80-M(82.3)-185,57ȣ,280mm,19.3
 900 ,20130415,108.6 cm,90.8 cm,180.9 cm,105.7 cm (41.6 in),79.9 cm,58.7 cm,28.1 cm,10.7 cm,92.6 kg,110-178,110-M(85)-185,105-M(79.2)-178,59ȣ,285mm,28.3
 901 ,20130415,91.2 cm,84.7 cm,169.9 cm,75.8 cm (29.9 in),75.1 cm,55.8 cm,26.5 cm,9.1 cm,57.1 kg,90-168,95-L(82)-173,75-M(74.8)-168,56ȣ,265mm,19.8
 902 ,20130415,85.4 cm,85.9 cm,171.3 cm,73.1 cm (28.8 in),75.5 cm,57.0 cm,26.3 cm,9.3 cm,54.2 kg,90-173,90-M(80)-173,75-M(77)-173,57ȣ,265mm,18.5
 903 ,20130415,104.6 cm,85.3 cm,170.2 cm,97.2 cm (38.2 in),75.0 cm,59.7 cm,27.5 cm,9.8 cm,82.3 kg,105-168,105-L(82)-173,95-M(77)-173,60ȣ,275mm,28.4
 904 ,20130415,84.8 cm,82.0 cm,163.9 cm,68.8 cm (27.1 in),72.3 cm,56.0 cm,24.1 cm,10.2 cm,53.1 kg,90-168,90-M(78)-168,75-M(74.8)-168,56ȣ,245mm,19.8
 905 ,20130415,96.4 cm,89.8 cm,179.9 cm,79.6 cm (31.4 in),79.3 cm,57.9 cm,29.1 cm,9.9 cm,72.4 kg,95-178,95-L(84)-178,80-M(79.2)-178,58ȣ,295mm,22.4
 906 ,20130415,92.8 cm,90.1 cm,180.1 cm,75.0 cm (29.5 in),79.4 cm,56.4 cm,27.1 cm,9.6 cm,66.0 kg,95-178,95-L(84)-178,75-M(79.2)-178,56ȣ,275mm,20.3
 907 ,20130415,107.4 cm,84.0 cm,168.7 cm,92.8 cm (36.6 in),74.5 cm,55.8 cm,25.2 cm,10.1 cm,77.6 kg,105-168,105-L(82)-173,95-S(71.8)-168,56ȣ,255mm,27.3
 908 ,20130415,103.8 cm,86.9 cm,172.9 cm,85.6 cm (33.7 in),76.4 cm,56.6 cm,26.1 cm,9.4 cm,71.9 kg,105-173,105-L(82)-173,85-M(77)-173,57ȣ,265mm,24.1
 909 ,20130415,102.1 cm,89.3 cm,179.5 cm,90.2 cm (35.5 in),79.0 cm,57.9 cm,26.2 cm,10.4 cm,80.7 kg,100-178,100-L(84)-178,90-M(79.2)-178,58ȣ,265mm,25.0
 910 ,20130415,105.3 cm,90.5 cm,180.9 cm,100.3 cm (39.5 in),79.6 cm,60.1 cm,27.5 cm,9.1 cm,91.4 kg,105-178,105-M(85)-185,100-M(79.2)-178,60ȣ,275mm,27.9
 911 ,20130415,111.4 cm,88.8 cm,176.9 cm,102.0 cm (40.2 in),78.0 cm,60.1 cm,27.2 cm,10.3 cm,91.4 kg,110-178,110-M(82)-178,100-M(79.2)-178,60ȣ,275mm,29.2
 912 ,20130415,93.5 cm,91.1 cm,181.7 cm,77.8 cm (30.6 in),80.1 cm,55.9 cm,28.2 cm,10.3 cm,65.4 kg,95-185,95-M(85)-185,80-M(79.2)-178,56ȣ,285mm,19.8
 913 ,20130415,97.7 cm,90.7 cm,181.4 cm,64.2 cm (25.3 in),80.1 cm,54.6 cm,27.5 cm,9.1 cm,65.9 kg,100-178,100-L(87)-185,70-M(77)-173,55ȣ,275mm,20.1
 914 ,20130415,96.7 cm,94.8 cm,189.9 cm,87.2 cm (34.3 in),83.9 cm,58.3 cm,28.1 cm,8.7 cm,72.1 kg,95-185,100-L(87)-185,85-M(82.3)-185,58ȣ,285mm,20.0
 915 ,20130415,103.8 cm,92.2 cm,185.1 cm,90.5 cm (35.6 in),81.7 cm,59.4 cm,27.5 cm,12.5 cm,84.8 kg,105-185,100-L(87)-185,90-M(82.3)-185,59ȣ,275mm,24.8
 916 ,20130415,101.6 cm,89.6 cm,179.8 cm,88.9 cm (35.0 in),79.1 cm,56.3 cm,28.6 cm,9.7 cm,81.1 kg,100-178,100-L(87)-185,90-M(79.2)-178,56ȣ,290mm,25.1
 917 ,20130415,96.7 cm,88.6 cm,177.8 cm,82.3 cm (32.4 in),78.2 cm,56.4 cm,26.9 cm,10.4 cm,67.3 kg,95-178,95-L(84)-178,80-M(79.2)-178,56ȣ,270mm,21.3
 918 ,20130415,98.5 cm,87.2 cm,174.9 cm,83.2 cm (32.8 in),77.2 cm,56.8 cm,26.2 cm,9.8 cm,63.5 kg,100-173,100-L(84)-178,85-M(77)-173,57ȣ,265mm,20.8
 919 ,20130415,95.0 cm,85.4 cm,170.8 cm,82.4 cm (32.4 in),75.2 cm,59.6 cm,26.3 cm,9.5 cm,64.8 kg,95-173,95-L(82)-173,80-S(74)-173,60ȣ,265mm,22.2
 920 ,20130415,92.0 cm,88.1 cm,176.2 cm,83.7 cm (32.9 in),77.7 cm,55.7 cm,26.3 cm,9.0 cm,62.1 kg,90-178,95-L(84)-178,85-S(76.2)-178,56ȣ,265mm,20.0
 921 ,20130415,94.7 cm,86.3 cm,172.5 cm,81.5 cm (32.1 in),76.1 cm,56.4 cm,26.8 cm,9.1 cm,65.8 kg,95-173,95-L(82)-173,80-M(77)-173,56ȣ,270mm,22.1
 922 ,20130415,104.7 cm,85.6 cm,171.7 cm,93.8 cm (36.9 in),75.6 cm,57.1 cm,26.6 cm,10.8 cm,78.5 kg,105-173,105-L(82)-173,95-M(77)-173,57ȣ,270mm,26.6
 923 ,20130415,86.5 cm,89.3 cm,178.4 cm,75.3 cm (29.6 in),78.5 cm,57.9 cm,27.0 cm,9.5 cm,61.4 kg,90-178,90-M(82)-178,75-M(79.2)-178,58ȣ,270mm,19.3
 924 ,20130415,92.6 cm,84.4 cm,168.3 cm,84.8 cm (33.4 in),74.1 cm,56.4 cm,25.3 cm,8.5 cm,61.3 kg,95-168,95-L(80)-168,85-M(74.8)-168,56ȣ,255mm,21.7
 925 ,20130415,109.9 cm,96.6 cm,193.2 cm,91.4 cm (36.0 in),85.3 cm,59.1 cm,30.0 cm,9.7 cm,91.0 kg,110-185,110-M(85)-185,90-M(82.3)-185,59ȣ,300mm,24.4
 926 ,20130415,93.0 cm,84.1 cm,169.2 cm,84.8 cm (33.4 in),74.5 cm,57.2 cm,25.0 cm,10.0 cm,63.3 kg,95-168,95-L(80)-168,85-M(74.8)-168,57ȣ,250mm,22.1
 927 ,20130415,115.3 cm,86.0 cm,172.4 cm,110.4 cm (43.5 in),76.1 cm,60.9 cm,26.9 cm,10.1 cm,98.4 kg,115-173,115-M(80)-173,105-M(79.2)-178,61ȣ,270mm,33.1
 928 ,20130415,87.8 cm,93.2 cm,186.2 cm,87.1 cm (34.3 in),82.0 cm,52.8 cm,24.9 cm,9.6 cm,63.6 kg,95-185,90-M(85)-185,85-M(82.3)-185,53ȣ,250mm,18.3
 929 ,20130415,97.3 cm,90.5 cm,180.8 cm,85.4 cm (33.6 in),79.7 cm,57.3 cm,28.5 cm,9.4 cm,75.0 kg,95-178,100-L(87)-185,85-M(79.2)-178,57ȣ,285mm,23.0
 930 ,20130415,88.3 cm,90.3 cm,180.2 cm,82.3 cm (32.4 in),79.5 cm,55.6 cm,27.4 cm,8.6 cm,54.5 kg,90-178,90-M(85)-185,80-M(79.2)-178,56ȣ,275mm,16.8
 931 ,20130415,110.7 cm,94.1 cm,188.0 cm,103.6 cm (40.8 in),82.7 cm,58.7 cm,29.0 cm,8.9 cm,104.2 kg,110-185,110-M(85)-185,105-M(82.3)-185,59ȣ,290mm,29.5
 932 ,20130415,88.3 cm,84.7 cm,170.4 cm,74.5 cm (29.3 in),75.2 cm,58.9 cm,24.6 cm,9.2 cm,56.5 kg,90-168,90-M(80)-173,75-M(74.8)-168,59ȣ,250mm,19.5
 933 ,20130415,90.8 cm,88.8 cm,178.1 cm,82.8 cm (32.6 in),78.7 cm,56.2 cm,26.8 cm,9.3 cm,62.3 kg,90-178,95-L(84)-178,85-M(79.2)-178,56ȣ,270mm,19.6
 934 ,20130415,93.2 cm,92.6 cm,185.1 cm,90.1 cm (35.5 in),81.5 cm,58.5 cm,27.8 cm,9.7 cm,65.0 kg,95-185,95-M(85)-185,90-M(82.3)-185,59ȣ,280mm,19.0
 935 ,20130415,92.4 cm,85.7 cm,171.4 cm,79.4 cm (31.3 in),75.7 cm,57.7 cm,26.6 cm,9.8 cm,66.0 kg,90-173,95-L(82)-173,80-M(77)-173,58ȣ,270mm,22.5
 936 ,20130415,87.0 cm,84.2 cm,168.7 cm,79.9 cm (31.5 in),74.5 cm,56.2 cm,26.3 cm,8.4 cm,49.2 kg,90-168,90-M(80)-173,80-M(74.8)-168,56ȣ,265mm,17.3
 937 ,20130415,97.4 cm,85.8 cm,171.4 cm,80.7 cm (31.8 in),75.4 cm,57.6 cm,26.7 cm,10.2 cm,62.9 kg,95-173,95-L(82)-173,80-S(74)-173,58ȣ,270mm,21.4
 938 ,20130415,92.0 cm,89.4 cm,178.0 cm,80.0 cm (31.5 in),78.5 cm,57.7 cm,25.5 cm,9.3 cm,64.0 kg,90-178,95-L(84)-178,80-M(79.2)-178,58ȣ,255mm,20.2
 939 ,20130415,96.6 cm,84.4 cm,168.5 cm,77.5 cm (30.5 in),74.3 cm,56.5 cm,25.2 cm,9.8 cm,70.7 kg,95-168,95-L(80)-168,75-M(74.8)-168,56ȣ,255mm,24.9
 940 ,20130415,91.9 cm,86.9 cm,173.9 cm,80.6 cm (31.7 in),76.8 cm,56.1 cm,25.1 cm,8.6 cm,58.0 kg,90-173,95-L(82)-173,80-M(77)-173,56ȣ,255mm,19.3
 941 ,20130415,93.6 cm,87.0 cm,173.9 cm,91.0 cm (35.8 in),76.5 cm,57.7 cm,26.2 cm,10.1 cm,68.6 kg,95-173,95-L(84)-178,90-M(77)-173,58ȣ,265mm,22.6
 942 ,20130415,93.2 cm,82.4 cm,165.4 cm,82.4 cm (32.4 in),73.0 cm,57.2 cm,24.8 cm,9.1 cm,60.8 kg,95-168,95-L(80)-168,80-S(71.8)-168,57ȣ,250mm,22.2
 943 ,20130415,96.8 cm,90.4 cm,181.3 cm,78.8 cm (31.0 in),79.9 cm,55.3 cm,30.1 cm,10.1 cm,72.4 kg,95-178,100-L(87)-185,80-M(79.2)-178,55ȣ,305mm,22.0
 944 ,20130415,96.8 cm,88.8 cm,176.9 cm,86.2 cm (33.9 in),78.1 cm,58.5 cm,26.8 cm,10.1 cm,68.1 kg,95-178,95-L(84)-178,85-M(79.2)-178,58ȣ,270mm,21.8
 945 ,20130415,108.8 cm,84.6 cm,170.1 cm,89.1 cm (35.1 in),75.0 cm,56.7 cm,26.9 cm,8.5 cm,73.6 kg,110-168,105-L(82)-173,90-M(77)-173,57ȣ,270mm,25.4
 946 ,20130415,91.8 cm,87.0 cm,174.7 cm,74.0 cm (29.2 in),76.9 cm,57.4 cm,26.7 cm,9.0 cm,57.4 kg,90-173,95-L(84)-178,75-M(77)-173,57ȣ,270mm,18.8
 947 ,20130415,87.3 cm,91.1 cm,181.4 cm,87.2 cm (34.3 in),79.9 cm,58.4 cm,30.9 cm,9.5 cm,54.4 kg,90-178,90-M(85)-185,85-M(79.2)-178,58ȣ,310mm,16.5
 948 ,20130415,97.5 cm,87.1 cm,174.7 cm,81.9 cm (32.3 in),77.1 cm,57.8 cm,26.8 cm,10.1 cm,67.2 kg,95-173,95-L(84)-178,80-M(77)-173,58ȣ,270mm,22.0
 949 ,20130415,86.1 cm,90.5 cm,180.6 cm,78.9 cm (31.1 in),79.4 cm,55.0 cm,27.0 cm,10.3 cm,60.3 kg,90-178,90-M(85)-185,80-M(79.2)-178,55ȣ,270mm,18.5
 950 ,20130415,96.5 cm,93.0 cm,186.6 cm,80.3 cm (31.6 in),82.2 cm,57.3 cm,27.7 cm,9.5 cm,69.9 kg,95-185,100-L(87)-185,80-M(82.3)-185,57ȣ,280mm,20.1
 951 ,20130415,97.4 cm,89.4 cm,178.8 cm,84.4 cm (33.2 in),78.5 cm,56.9 cm,27.0 cm,9.8 cm,63.5 kg,95-178,95-L(84)-178,85-M(79.2)-178,57ȣ,270mm,19.9
 952 ,20130415,94.1 cm,91.3 cm,182.6 cm,84.5 cm (33.3 in),80.5 cm,58.4 cm,27.7 cm,9.2 cm,65.5 kg,95-185,95-M(85)-185,85-M(82.3)-185,58ȣ,280mm,19.6
 953 ,20130415,91.4 cm,88.9 cm,176.8 cm,71.8 cm (28.3 in),78.0 cm,55.7 cm,26.4 cm,9.3 cm,64.6 kg,90-178,95-L(84)-178,75-M(79.2)-178,56ȣ,265mm,20.7
 954 ,20130415,92.8 cm,89.5 cm,178.6 cm,87.3 cm (34.4 in),78.9 cm,56.2 cm,29.2 cm,9.5 cm,66.3 kg,95-178,95-L(84)-178,85-M(79.2)-178,56ȣ,295mm,20.8
 955 ,20130415,114.5 cm,91.3 cm,183.0 cm,104.8 cm (41.3 in),80.7 cm,59.0 cm,28.8 cm,10.3 cm,97.7 kg,115-185,115-M(85)-185,105-M(82.3)-185,59ȣ,290mm,29.2
 956 ,20130415,105.4 cm,84.5 cm,168.9 cm,91.5 cm (36.0 in),74.6 cm,56.2 cm,27.2 cm,9.1 cm,74.6 kg,105-168,105-L(82)-173,90-S(71.8)-168,56ȣ,275mm,26.2
 957 ,20130415,90.9 cm,88.5 cm,177.5 cm,75.6 cm (29.8 in),78.4 cm,55.9 cm,26.0 cm,8.6 cm,57.4 kg,90-178,95-L(84)-178,75-M(79.2)-178,56ȣ,260mm,18.2
 958 ,20130415,93.1 cm,88.3 cm,177.5 cm,77.4 cm (30.5 in),78.2 cm,54.4 cm,26.8 cm,8.6 cm,58.5 kg,95-178,95-L(84)-178,75-M(79.2)-178,54ȣ,270mm,18.6
 959 ,20130415,96.8 cm,86.9 cm,173.8 cm,87.0 cm (34.2 in),76.5 cm,56.4 cm,26.0 cm,9.4 cm,73.3 kg,95-173,95-L(82)-173,85-M(77)-173,56ȣ,260mm,24.3
 960 ,20130415,91.1 cm,88.1 cm,176.8 cm,74.7 cm (29.4 in),77.8 cm,57.5 cm,26.2 cm,9.7 cm,58.8 kg,90-178,95-L(84)-178,75-M(79.2)-178,57ȣ,265mm,18.8
 961 ,20130415,86.6 cm,88.1 cm,176.9 cm,80.2 cm (31.6 in),78.1 cm,56.6 cm,27.5 cm,9.7 cm,57.2 kg,90-178,90-M(82)-178,80-M(79.2)-178,57ȣ,275mm,18.3
 962 ,20130415,96.3 cm,87.6 cm,175.1 cm,78.9 cm (31.1 in),77.1 cm,56.7 cm,23.9 cm,8.6 cm,62.0 kg,95-173,95-L(84)-178,80-M(77)-173,57ȣ,240mm,20.3
 963 ,20130415,98.1 cm,88.2 cm,176.7 cm,75.8 cm (29.9 in),77.9 cm,55.0 cm,26.2 cm,5.2 cm,67.1 kg,100-178,100-L(84)-178,75-M(79.2)-178,55ȣ,265mm,21.5
 964 ,20130415,97.3 cm,87.7 cm,175.3 cm,88.7 cm (34.9 in),77.3 cm,58.9 cm,26.9 cm,10.5 cm,71.8 kg,95-173,95-L(84)-178,90-M(77)-173,59ȣ,270mm,23.4
 965 ,20130415,91.2 cm,89.8 cm,179.6 cm,79.5 cm (31.3 in),79.2 cm,58.5 cm,26.6 cm,9.5 cm,67.4 kg,90-178,95-L(84)-178,80-M(79.2)-178,59ȣ,270mm,20.8
 966 ,20130415,97.9 cm,89.2 cm,177.7 cm,78.8 cm (31.0 in),78.4 cm,59.7 cm,27.5 cm,9.4 cm,69.9 kg,100-178,100-L(84)-178,80-M(79.2)-178,60ȣ,275mm,22.1
 967 ,20130415,98.8 cm,85.8 cm,172.1 cm,72.4 cm (28.5 in),76.0 cm,56.8 cm,26.8 cm,9.2 cm,62.7 kg,100-173,100-L(82)-173,70-M(77)-173,57ȣ,270mm,20.9
 968 ,20130415,105.4 cm,87.5 cm,175.6 cm,95.1 cm (37.4 in),77.2 cm,58.9 cm,26.9 cm,10.2 cm,81.0 kg,105-178,105-L(84)-178,95-M(77)-173,59ȣ,270mm,26.2
 969 ,20130415,105.5 cm,87.9 cm,176.4 cm,90.9 cm (35.8 in),77.9 cm,58.4 cm,27.4 cm,9.7 cm,72.1 kg,105-178,105-L(84)-178,90-M(79.2)-178,58ȣ,275mm,23.1
 970 ,20130415,93.7 cm,91.8 cm,184.0 cm,84.0 cm (33.1 in),81.3 cm,55.8 cm,27.9 cm,9.3 cm,66.5 kg,95-185,95-M(85)-185,85-M(82.3)-185,56ȣ,280mm,19.6
 971 ,20130415,100.5 cm,89.6 cm,178.8 cm,82.5 cm (32.5 in),78.6 cm,58.5 cm,26.5 cm,8.9 cm,73.1 kg,100-178,100-L(84)-178,85-M(79.2)-178,58ȣ,265mm,22.9
